trade_code,,,,
005195,BSHFHBA,博时合丰货币A,货币型,BOSHIHEFENGHUOBIA
005196,BSHFHBB,博时合丰货币B,货币型,BOSHIHEFENGHUOBIB
005197,GYHGSJXHHA,工银沪港深精选混合A,混合型,GONGYINHUGANGSHENJINGXUANHUNHEA
005198,GYHGSJXHHC,工银沪港深精选混合C,混合型,GONGYINHUGANGSHENJINGXUANHUNHEC
005199,SYJJLHB,上银聚加利货币,货币型,SHANGYINJUJIALIHUOBI
005202,XYWTYHBB,兴业稳天盈货币B,货币型,XINGYEWENTIANYINGHUOBIB
005206,NFYXCZHHC,南方优选成长混合C,混合型,NANFANGYOUXUANCHENGZHANGHUNHEC
005207,NFGDZBLHPZHHC,南方高端装备灵活配置混合C,混合型,NANFANGGAODUANZHUANGBEILINGHUOPEIZHIHUNHEC
005208,GSABAYCZBNDKZ,国寿安保安裕纯债半年定开债,定开债券,GUOSHOUANBAOANYUCHUNZHAIBANNIANDINGKAIZHAI
005209,DWSSJA,东吴双三角A,股票型,DONGWUSHUANGSANJIAOA
005210,DWSSJC,东吴双三角C,股票型,DONGWUSHUANGSANJIAOC
005211,YHZHHH,银河智慧混合,混合型,YINHEZHIHUIHUNHE
005212,HAWYZQ,汇安稳裕债券,债券型,HUIANWENYUZHAIQUAN
005213,HXDWSGYDKZA,华夏鼎旺三个月定开债A,定开债券,HUAXIADINGWANGSANGEYUEDINGKAIZHAIA
005214,HXDWSGYDKZC,华夏鼎旺三个月定开债C,定开债券,HUAXIADINGWANGSANGEYUEDINGKAIZHAIC
005215,NFQTHCLFOFA,南方全天候策略(FOF)A,混合-FOF,NANFANGQUANTIANHOUCELUEFOFA
005216,NFQTHCLFOFC,南方全天候策略(FOF)C,混合-FOF,NANFANGQUANTIANHOUCELUEFOFC
005217,JXFZATHHFOF,建信福泽安泰混合(FOF),混合-FOF,JIANXINFUZEANTAIHUNHEFOF
005218,HXJHFOFA,华夏聚惠(FOF)A,混合-FOF,HUAXIAJUHUIFOFA
005219,HXJHFOFC,华夏聚惠(FOF)C,混合-FOF,HUAXIAJUHUIFOFC
005220,HFTJYJXHHFOF,海富通聚优精选混合(FOF),混合-FOF,HAIFUTONGJUYOUJINGXUANHUNHEFOF
005221,TDHLQNHHFOFA,泰达宏利全能混合(FOF)A,混合-FOF,TAIDAHONGLIQUANNENGHUNHEFOFA
005222,TDHLQNHHFOFC,泰达宏利全能混合(FOF)C,混合-FOF,TAIDAHONGLIQUANNENGHUNHEFOFC
005223,GFZZJJGCZSA,广发中证基建工程指数A,股票指数,GUANGFAZHONGZHENGJIJIANGONGCHENGZHISHUA
005224,GFZZJJGCZSC,广发中证基建工程指数C,股票指数,GUANGFAZHONGZHENGJIJIANGONGCHENGZHISHUC
005225,GFLHDYZHH,广发量化多因子混合,混合型,GUANGFALIANGHUADUOYINZIHUNHE
005226,SXGGJXLHPZHH,山西改革精选灵活配置混合,混合型,SHANXIGAIGEJINGXUANLINGHUOPEIZHIHUNHE
005228,TFGGTZZCZ,添富港股通专注成长,混合型,TIANFUGANGGUTONGZHUANZHUCHENGZHANG
005229,JSFSZGA50ETFLJC,嘉实富时中国A50ETF联接C,联接基金,JIASHIFUSHIZHONGGUOA50ETFLIANJIEC
005230,CSHBB,长盛货币B,货币型,CHANGSHENGHUOBIB
005231,HTHTSTHHXFQSA,红塔红土盛通混合型发起式A,混合型,HONGTAHONGTUSHENGTONGHUNHEXINGFAQISHIA
005232,HTHTSTHHXFQSC,红塔红土盛通混合型发起式C,混合型,HONGTAHONGTUSHENGTONGHUNHEXINGFAQISHIC
005233,GFRYLXHH,广发睿毅领先混合,混合型,GUANGFARUIYILINGXIANHUNHE
005234,GFHJ3GYDKZ,广发汇吉3个月定开债,定开债券,GUANGFAHUIJI3GEYUEDINGKAIZHAI
005235,YHSPYLLHGPFQSA,银华食品饮料量化股票发起式A,股票型,YINHUASHIPINYINLIAOLIANGHUAGUPIAOFAQISHIA
005236,YHSPYLLHGPFQSC,银华食品饮料量化股票发起式C,股票型,YINHUASHIPINYINLIAOLIANGHUAGUPIAOFAQISHIC
005237,YHYLJKLHYXA,银华医疗健康量化优选A,股票型,YINHUAYILIAOJIANKANGLIANGHUAYOUXUANA
005238,YHYLJKLHYXC,银华医疗健康量化优选C,股票型,YINHUAYILIAOJIANKANGLIANGHUAYOUXUANC
005239,YHWTYLLHGPFQSA,银华文体娱乐量化股票发起式A,股票型,YINHUAWENTIYULELIANGHUAGUPIAOFAQISHIA
005240,YHWTYLLHGPFQSC,银华文体娱乐量化股票发起式C,股票型,YINHUAWENTIYULELIANGHUAGUPIAOFAQISHIC
005241,ZOSDZHHHA,中欧时代智慧混合A,混合型,ZHONGOUSHIDAIZHIHUIHUNHEA
005242,ZOSDZHHHC,中欧时代智慧混合C,混合型,ZHONGOUSHIDAIZHIHUIHUNHEC
005243,RTZGGNZQ,融通中国概念债券,QDII,RONGTONGZHONGGUOGAINIANZHAIQUAN
005244,GTJYJZLHPZHHA,国泰聚优价值灵活配置混合A,混合型,GUOTAIJUYOUJIAZHILINGHUOPEIZHIHUNHEA
005245,GTJYJZLHPZHHC,国泰聚优价值灵活配置混合C,混合型,GUOTAIJUYOUJIAZHILINGHUOPEIZHIHUNHEC
005246,GTKZZZQ,国泰可转债债券,债券型,GUOTAIKEZHUANZHAIZHAIQUAN
005247,GDLHJXHH,国都量化精选混合,混合型,GUODOULIANGHUAJINGXUANHUNHE
005250,YHGZYSHH,银华估值优势混合,混合型,YINHUAGUZHIYOUSHIHUNHE
005251,YHDYDLLHPZHH,银华多元动力灵活配置混合,混合型,YINHUADUOYUANDONGLILINGHUOPEIZHIHUNHE
005252,ZHTRDKHH,中海添瑞定开混合,混合型,ZHONGHAITIANRUIDINGKAIHUNHE
005255,PYASGGTLHHH,浦银安盛港股通量化混合,混合型,PUYINANSHENGGANGGUTONGLIANGHUAHUNHE
005256,FGXYXLHDKHHA,富国新优选灵活定开混合A,混合型,FUGUOXINYOUXUANLINGHUODINGKAIHUNHEA
005257,FGXYXLHDKHHC,富国新优选灵活定开混合C,混合型,FUGUOXINYOUXUANLINGHUODINGKAIHUNHEC
005258,JSCCLHPHHH,景顺长城量化平衡混合,混合型,JINGSHUNCHANGCHENGLIANGHUAPINGHENGHUNHE
